TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mockito.internal.invocation.InvocationMatcher,BRANCH,0.1864406779661017,59,11
org.mockito.internal.invocation.InvocationMatcher,BRANCH,0.16923076923076924,65,11
org.mockito.internal.util.Timer,BRANCH,0.875,8,7
org.mockito.internal.util.Timer,BRANCH,0.9,10,9
org.mockito.internal.invocation.InvocationMatcher,BRANCH,0.18032786885245902,61,11
org.mockito.internal.invocation.InvocationMatcher,BRANCH,0.17391304347826086,69,12
org.apache.commons.math3.fraction.BigFraction,BRANCH,0.927007299270073,137,127
org.apache.commons.math3.fraction.Fraction,BRANCH,0.9830508474576272,118,115
org.apache.commons.math.complex.Complex,BRANCH,0.9937888198757764,161,159
org.apache.commons.math.complex.Complex,BRANCH,0.9937888198757764,161,160
org.apache.commons.math.complex.Complex,BRANCH,0.9936305732484076,157,152
org.apache.commons.math.linear.OpenMapRealMatrix,BRANCH,0.96875,32,31
org.apache.commons.math.linear.OpenMapRealMatrix,BRANCH,0.8064516129032258,31,25
org.apache.commons.math3.optimization.univariate.BrentOptimizer,BRANCH,0.9466666666666667,75,71
org.apache.commons.math3.optimization.univariate.BrentOptimizer,BRANCH,0.9866666666666667,75,74
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,BRANCH,0.0,39,0
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,BRANCH,0.0,36,0
org.apache.commons.lang.enums.ValuedEnum,BRANCH,0.18181818181818182,11,2
org.apache.commons.lang.enums.ValuedEnum,BRANCH,0.11764705882352941,17,2
org.apache.commons.lang.Entities,BRANCH,0.9469026548672567,113,102
org.apache.commons.lang.Entities,BRANCH,0.8034188034188035,117,94
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,17,17
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.reflect.TypeUtils,BRANCH,0.42905405405405406,296,127
org.apache.commons.lang3.reflect.TypeUtils,BRANCH,0.43197278911564624,294,127
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.7357859531772575,299,220
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.6131147540983607,305,187
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.740983606557377,305,226
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.5828025477707006,314,184
org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,BRANCH,0.9772727272727273,44,43
org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,BRANCH,0.9245283018867925,53,49
org.apache.commons.jxpath.ri.compiler.Expression,BRANCH,0.8947368421052632,19,17
org.apache.commons.jxpath.ri.compiler.Expression,BRANCH,0.9130434782608695,23,21
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.745928338762215,307,229
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.6058631921824105,307,186
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.7216828478964401,309,223
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.6495176848874598,311,202
org.joda.time.field.UnsupportedDurationField,BRANCH,0.8857142857142857,35,30
org.joda.time.Partial,BRANCH,0.9772727272727273,132,128
org.joda.time.field.UnsupportedDurationField,BRANCH,0.8823529411764706,34,30
org.joda.time.Partial,BRANCH,0.927536231884058,138,127
org.joda.time.format.PeriodFormatterBuilder,BRANCH,0.9509632224168126,571,543
org.joda.time.field.UnsupportedDurationField,BRANCH,0.8823529411764706,34,29
org.joda.time.Partial,BRANCH,0.9782608695652174,138,132
org.joda.time.format.PeriodFormatterBuilder,BRANCH,0.8890814558058926,577,511
org.joda.time.format.DateTimeParserBucket,BRANCH,0.9629629629629629,81,78
org.joda.time.format.DateTimeParserBucket,BRANCH,0.9655172413793104,87,84
org.joda.time.DateTimeZone,BRANCH,0.8068181818181818,176,141
org.joda.time.DateTimeZone,BRANCH,0.8021978021978022,182,146
