TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.csv.ExtendedBufferedReader,BRANCH,0.6538461538461539,26,17
org.apache.commons.csv.ExtendedBufferedReader,BRANCH,0.6,30,18
org.apache.commons.csv.CSVRecord,BRANCH,1.0,25,25
org.apache.commons.csv.CSVRecord,BRANCH,1.0,25,25
org.apache.commons.csv.Lexer,BRANCH,0.9354838709677419,62,57
org.apache.commons.csv.Lexer,BRANCH,0.9428571428571428,70,64
org.apache.commons.csv.CSVParser,BRANCH,0.782608695652174,69,54
org.apache.commons.csv.CSVParser,BRANCH,0.7714285714285715,70,54
com.google.gson.TypeInfoFactory,BRANCH,0.08333333333333333,24,2
com.google.gson.TypeInfoFactory,BRANCH,0.043478260869565216,46,2
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.366412213740458,262,94
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.39552238805970147,268,106
com.google.gson.internal.ConstructorConstructor,BRANCH,0.0,58,0
com.google.gson.internal.ConstructorConstructor,BRANCH,0.0,66,0
com.google.gson.stream.JsonReader,BRANCH,0.5740181268882175,662,375
com.google.gson.stream.JsonWriter,BRANCH,0.8782608695652174,115,100
com.google.gson.stream.JsonReader,BRANCH,0.6261398176291794,658,413
com.google.gson.stream.JsonWriter,BRANCH,0.8828828828828829,111,98
com.fasterxml.jackson.core.io.NumberInput,BRANCH,0.8429752066115702,121,102
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9767441860465116,129,126
com.fasterxml.jackson.core.io.NumberInput,BRANCH,0.8852459016393442,122,108
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9473684210526315,133,122
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.39720812182741116,788,309
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.1643835616438356,1241,227
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.43266832917705733,802,344
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.099601593625498,1255,124
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.22611464968152867,1256,282
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.18869426751592358,1256,238
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9858156028368794,141,139
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9858156028368794,141,139
com.fasterxml.jackson.databind.ser.std.StdKeySerializer,BRANCH,1.0,5,5
com.fasterxml.jackson.databind.ser.std.StdKeySerializer,BRANCH,1.0,9,9
com.fasterxml.jackson.databind.JavaType,BRANCH,0.7659574468085106,47,36
com.fasterxml.jackson.databind.ser.BeanSerializerFactory,BRANCH,0.06832298136645963,161,11
com.fasterxml.jackson.databind.ser.std.BeanSerializerBase,BRANCH,0.11312217194570136,221,25
com.fasterxml.jackson.databind.ser.std.StdDelegatingSerializer,BRANCH,0.7333333333333333,30,22
com.fasterxml.jackson.databind.ser.std.StdSerializer,BRANCH,0.2898550724637681,69,20
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,BRANCH,0.009216589861751152,217,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,BRANCH,0.0091324200913242,219,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,BRANCH,0.6129032258064516,124,76
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,BRANCH,0.007142857142857143,140,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,BRANCH,0.00904977375565611,221,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,BRANCH,0.00904977375565611,221,2
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,BRANCH,0.5,62,31
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,BRANCH,0.46875,64,30
org.jsoup.nodes.Document,BRANCH,1.0,26,26
org.jsoup.nodes.Document,BRANCH,1.0,26,26
org.jsoup.parser.Parser,BRANCH,0.7282608695652174,92,67
org.jsoup.parser.Parser,BRANCH,0.782608695652174,92,72
org.jsoup.nodes.Element,BRANCH,0.7006369426751592,157,110
org.jsoup.parser.Parser,BRANCH,0.6956521739130435,92,64
org.jsoup.parser.Tag,BRANCH,0.8333333333333334,114,95
org.jsoup.nodes.Element,BRANCH,0.732484076433121,157,115
org.jsoup.parser.Parser,BRANCH,0.6907216494845361,97,67
org.jsoup.parser.Tag,BRANCH,0.8278688524590164,122,101
org.jsoup.nodes.Entities,BRANCH,0.8148148148148148,27,22
org.jsoup.nodes.Entities,BRANCH,0.8888888888888888,27,24
