Image_tag,CChange,MChange,LChange,LD,CB,CP,CC,CodeBLEU
Chart_1,0,0,2,1,187,187,0,0.9998279901636238
Chart_2,1,0,142,764,324,326,2,0.984408403303385
Chart_3,0,0,2,64,149,149,0,0.9989338579156021
Chart_4,0,0,2,51,705,706,1,0.999637695094725
Cli_1,3,8,161,1057,24,26,2,0.7839709310289086
Cli_2,2,2,56,28,28,28,0,0.9894377767716261
Cli_3,4,3,38,256,25,27,2,0.8412464380269871
Cli_4,2,2,26,121,44,45,1,0.9689557704116823
Closure_1,4,7,39,46,162,163,1,0.9987328895830645
Closure_2,2,3,24,100,404,405,1,0.8507275052763322
Closure_3,2,1,64,284,83,86,3,0.8675278088713909
Closure_4,3,4,69,26,63,63,0,0.9984759144934641
Codec_1,5,4,46,72,129,129,0,0.9492753372647528
Codec_2,4,5,45,11,110,111,1,0.9983120436083668
Codec_3,2,8,25,1,291,291,0,0.9997084403579181
Codec_4,4,4,11,5,121,121,0,0.9986429136878371
Collections_25,3,7,86,450,137,140,3,0.9630679502889907
Collections_26,3,2,43,5,20,20,0,0.9989275780851163
Collections_27,3,7,61,380,63,66,3,0.9158532403378814
Collections_28,3,1,77,357,410,413,3,0.9953921031991193
Compress_1,3,5,181,27,53,53,0,0.9835254169917067
Compress_2,1,4,69,976,29,36,7,0.82161436101
Compress_3,7,10,108,237,27,28,1,0.9301146371082093
Compress_4,8,11,21,89,191,191,0,0.9771509818462667
Csv_1,2,1,21,41,18,20,2,0.9886971685038588
Csv_2,2,3,123,322,18,19,1,0.9797891305347435
Csv_3,3,1,56,136,34,38,4,0.968185862482831
Csv_4,2,2,10,32,41,42,1,0.9964210781271073
JacksonCore_1,5,5,57,480,165,170,5,0.9923125106365559
JacksonCore_2,7,19,201,1368,1138,1152,14,0.9598668406998141
JacksonCore_3,4,2,38,74,702,702,0,0.9804365221136337
JacksonCore_4,2,2,24,109,99,99,0,0.987326474621398
JacksonDatabind_9,5,4,42,225,5,7,2,0.905080347292135
JacksonDatabind_15,8,14,123,1177,339,351,12,0.9742925285230679
JacksonDatabind_26,12,14,181,116,121,121,0,0.8662625111319279
JacksonDatabind_28,5,5,57,131,76,77,1,0.9194254675563934
JacksonXml_1,9,14,81,385,134,135,1,0.9913970596666407
JacksonXml_2,4,7,92,886,73,81,8,0.9455002910188205
JacksonXml_3,3,2,64,68,137,137,0,0.9975343436819795
JacksonXml_4,4,7,176,150,47,48,1,0.9920662215983754
Jsoup_1,3,3,26,40,21,21,0,0.9885419046314848
Jsoup_2,3,3,16,34,59,59,0,0.9967424014669088
Jsoup_3,6,15,112,1160,248,256,8,0.9491638636310804
Jsoup_9,3,2,20,4,19,19,0,0.9994695110860307
JxPath_1,4,4,9,94,356,358,2,0.9641221619817779
JxPath_2,2,7,23,441,17,19,2,0.8816491554041633
JxPath_3,2,3,84,771,36,41,5,0.8535597129283186
JxPath_4,5,10,220,1422,352,359,7,0.9296272369283286
Lang_15,1,3,23,140,166,165,1,0.9423368755427617
Lang_17,2,2,40,263,12,11,1,0.8849061877612784
Lang_62,2,1,17,381,79,81,2,0.9937667203608337
Lang_64,4,5,237,891,9,16,7,0.8753275833091524
Math_13,3,3,49,335,31,33,2,0.9060123411199702
Math_23,2,7,81,331,40,40,0,0.9503625113791202
Math_45,3,1,38,238,29,30,1,0.8477457110004362
Math_46,2,4,14,30,112,110,2,0.9941560758748913
Mockito_1,1,1,15,611,36,40,4,0.9707452539630275
Mockito_2,4,3,72,269,3,5,2,0.788102785149443
Mockito_3,1,3,76,701,34,38,4,0.8681749309589131
Mockito_38,3,2,46,22,10,11,1,0.9676576371673894
Time_1,2,2,14,715,129,131,2,0.9302697623015932
Time_13,3,5,33,240,346,349,3,0.9758142853189352
Time_24,3,2,86,188,61,63,2,0.9949131208625388
Time_25,3,5,117,369,127,130,3,0.9896337621700811
