Bug_ID,CChange,MChange,LChange,LD,CB,CP,CC,CodeBLEU
BITCOUNT,1,1,5,10,2.0,2.0,0,0.9634038712745000
BREADTH_FIRST_SEARCH,1,1,8,52,5.0,5.0,0,0.838959577111095
FIND_FIRST_IN_SORTED,1,1,4,9,6.0,6.0,0,0.9804141125385570
FIND_IN_SORTED,1,1,5,11,2.5,2.5,0,0.954490259043676
GCD,1,1,4,14,2.0,2.0,0,0.8532225389753490
GET_FACTORS,1,1,5,25,4.0,4.0,0,0.958958723844807
LEVENSHTEIN,1,1,4,12,5.0,5.0,0,0.9395176479538480
LIS,1,1,4,26,7.0,7.0,0,0.937372052443133
LONGEST_COMMON_SUBSEQUENCE,1,1,4,21,5.0,5.0,0,0.93293750946959
MINIMUM_SPANNING_TREE,1,1,7,90,3.5,3.5,0,0.789835733921249
NEXT_PALINDROME,1,1,4,10,5.0,5.0,0,0.959152531263575
NEXT_PERMUTATION,1,1,4,9,7.0,7.0,0,0.981918572170268
PASCAL,1,1,4,10,5.0,5.0,0,0.9597201013620690
POSSIBLE_CHANGE,1,1,4,26,3.0,4.0,1,0.896872752411544
POWERSET,1,1,18,180,3.0,3.0,0,0.870236516363593
QUICKSORT,1,1,4,9,5.0,5.0,0,0.978999027432313
REVERSE_LINKED_LIST,1,1,4,65,2.0,2.0,0,0.7191377623559130
WRAP,1,1,4,32,2.0,2.0,0,0.962384387670075
SIEVE,1,1,4,10,2.75,2.75,0,0.9520234547753500
SQRT,1,1,4,15,2.0,2.0,0,0.896031951865776
